id,category,brand_name,effective_time,purpose,indications_and_usage,active_ingredient,inactive_ingredient,dosage_and_administration,warnings
4bd2404d-ecaf-47ee-943f-694268fbc410,acne,Acne Deep Pore Cleansing Wash,2019-12-04,Purpose Acne Treatment,"Uses For the treatment of acne Helps keep skin clear of new acne, acne blemishes, acne pimples and blackheads",Active Ingredient Salicylic Acid 2%,"Inactive ingredients Purified Water, Disodium Laureth Sulfosuccinate, Cocamidopropyl Hydroxysultaine (Coconut Derived), Cocamidopropylamine Oxide, PEG-150 Distearate, Polysorbate 20, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Glycerin (Vegetable Derived), Lavandula Angustifolia (Lavender) Oil, Aniba Rosodora (Rosewood) Wood Oil, Salix Alba (Willow) Bark Extract, Organic Chamomilla Recutita (Matricaria) Flower Extract Certified Organic Ingredients , Decyl Glucoside (Plant Derived), Potassium Sorbate, Phenoxyethanol, Ethylhexylglycerin.","Directions Moisten face and apply by massaging face gently, avoiding the delicate eye area. Cover the entire affected area with a thin layer and rinse thoroughly one to three times daily. Pat dry. Because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor. If bothersome dryness or peeling occurs, reduce application to once a day or every other day.","Warnings For external use only When using this product skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. avoid contact with eyes. If contact occurs, flush thoroughly with water. Keep out of reach of children . If product is swallowed, get medical help or contact a Poison Control Center right away."
682e804d-d5bd-c6b4-e053-2a91aa0a25f2,acne,Utiliderm Acne Control,2018-03-24,Purpose acne medication acne medication,Use for the treatment of acne,Active Ingredients Sulfur 4% Resorcinol 2%,"Inactive ingredients Benzalkonium chloride, bergamot essential oil, carbomer U-10, chitosan, Melaleuca alternifolia leaf essential oil, Nigella sativa seed oil, olive oil, Origanum vulgare whole plant essential oil, polysorbate 80, sorbitan.","Directions ■ clean the skin thoroughly before applying this product ■ cover the entire affected area with a thin layer one to three times daily ■ because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor ■ if bothersome dryness or peeling occurs, reduce application to once a day or every other day.",Warnings For external use only
843d6c0f-cfaa-4ff8-a0bf-50da7197e390,acne,Oil Free Acne Wash,2020-09-10,Purpose Acne medication,Use for the treatment of acne,Active ingredients Salicylic acid 2%,"Inactive ingredients water, sodium C14-16 olefin sulfonate, cocamidopropyl betaine, glycerin, sodium chloride, decyl glucoside, disodium EDTA, fragrance, linoleamidopropyl PG-dimonium chloride phosphate, propylene glycol, Aloe barbadensis leaf extract, Anthemis nobilis flower extract, Chamomilla recutita (matricaria) flower extract, yellow 5, red 40","Directions use twice a daily. Wet face, apply to hands, add water and work into lather. Massage face gently. Rinse well. avoid contact with eyes. If contact with eyes. If contact occurs, flush thoroughly with water.",Warnings For external use only
b629cb05-548f-4d60-e053-2a95a90aeefb,acne,DermaClear BHA Spot Treatment,2020-12-10,Purpose: Acne Treatment,Uses: For the treatment of acne.,Active Ingredient: Salicylic Acid - 2%,"Other ingredients: Water (aqua), SD Alcohol 40-B, Butylene Glycol, Hydroxypropylcellulose",Directions Apply a small portion over the affected area with finger tips and gently massage onto the skin. Reapply as needed.,Warnigs For external use only
d87b4128-cbc0-4d65-bc54-64230d4ad063,acne,ACNE CLEANSING,2019-11-14,Purpose Acne Treatment,Uses treats acne clears acne blemishes helps prevent development of new acne blemishes,Active Ingredient Salicylic Acid 2%,Inactive ingredients water\aqua\eau • glycerin • sodium laureth sulfate • sodium chloride • lauramidopropyl betaine • butylene glycol • sucrose • gentiana lutea (gentian) root extract • laminaria saccharina extract • caffeine • sodium hyaluronate • acetyl glucosamine • laureth-2 • peg-120 methyl glucose dioleate • sodium sulfate • benzophenone-4 • sodium hydroxide • edta • disodium edta • bht • phenoxyethanol • blue 1 (ci 42090) [iln41073],"Directions Wet hands and work into a lather Add water to increase lather Massage gently over wet skin, avoiding eye area Rinse Use A.M. and P.M. If bothersome drying or peeling occurs, reduce usage to every other day Follow with Acne Solutions Clarifying Lotion","Warnings For external use only When using this product using other topical acne drugs at the same time or right after use of this product may increase dryness or irritation of the skin. If this occurs, only one medication should be used unless directed by a doctor. Keep out of reach of children. If product is swallowed, get medical help or contact a Poison Control Center right away."
2393b28e-dc58-43ce-aea1-43d9a0b1d603,acne,Earths Care Acne Treatment Mask,2018-12-27,Purpose Acne medication,Uses for the treatment of acne penetrates the pores and dries and clears pimples and blackheads helps to keep new pimples and black heads from forming.,Active ingredients Sulfur 5%,"Inactive ingredients Avena sativa (oat) kernel colloidal oatmeal, bentonite, Butyrospermum parkii (shea) butter, cetearyl glucoside, citric acid, glycerin, glyceryl stearate, Helianthus annuus (sunflower) seed oil, hydrogenated castor oil, kaolin, phenoxyethanol, potassium sorbate, purified water, sodium stearoyl glutamate, xanthan gum.","Directions cleanse the skin thoroughly before applying cover the entire affected area with a thin layer one to three times daily leave on for 10 minutes thoroughly remove with water because excessive during of the skin may occur, start with one application daily, then gradually increase to two to three times daily if needed or as directed by a doctor if bothersome dryness or peeling occurs, reduce application to once a day or every other day","Warnings For external use only When using this product do not get into eyes skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs only use one topical acne medication at a time. apply only to areas with acne. Do not use on broken skin large areas of the skin Stop use and ask a doctor if excessive skin irritation develops or increases Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
92d43245-94ae-f00e-e053-2a95a90a29a6,acne,Acne wash facial cleanser Tea tree oil,2019-09-18,Purpose Acne treatment,USAGE For the treatments of acne,Active Ingredient Salicylic Acid 2%,"WATER, SODIUM C14-16 SULFONATE, COCAMIDOPROPYL BETAINE, ACRYLATES COPOLYMER, PROPYLENE GLYCOL, SODIUM LAURYL SULFATE, FRAGRANCE, CITRIC ACID, ALOE BARBADENSIS LEAF JUICE, DISODIUM EDTA, SODIUM HYDROXIDE, D&C BLUE NO.1 MELALEUCA ALTERNIFOLIA TEA TREE LEAF OIL","Directions Wet face Gently massage product all over face for 20-30 seconds, avoiding eye area Rinse thoroughly and pat dry Cleanse twice a day.","Warnings For external use only May stain some fabrics. When using this product and other typical acne medications at the same time or immediately following use of this product, dryness or irritation of the skin may be increased. If this occurs, only one medication should be used unless directed by a doctor"
623649f4-e609-4ca0-93ef-f98c491a9c30,acne,Medicated Apricot Scrub,2020-02-12,Purpose Acne medication,Use for the treatment of acne,Active ingredient Salicylic acid (2%),"Inactive ingredients water, Juglans regia (walnut) shell powder, glyceryl stearate SE, glycerin, decly glucoside, Zea mays (corn) kernel meal, cetearyl alcohol, cetyl alcohol, triethanolamine, cocamidopropylbetaine, glyceryl stearate, PEG-100 stearate, Prunus armeniaca (apricot) fruit extract, cetyl acetate, ceteareth-20, carbomer, polysorbate 60, acetylated lanolin alcohol, fragance, PPG-2 methyl ether, phenethyl alcohol, methylisothiazolinone, titanium dioxide","Directions moisten face with water. Apply product with wet fingertips and masage over face. Rinse well and pat dry avoid contact with the eyes. If contact occurs, flush thoroughly with water.",Warnings For external use only
9a681267-5565-53f6-e053-2a95a90a4182,acne,Acne,2019-12-23,"USES To relieve the symptoms of acne symptoms such as pimples on the face and/or neck, usually with oily skin and often caused by poor diet.",INDICATIONS Indications: ANTIMON CRUD Warts BERBER AQUI Acne SEPIA Indifference,ACTIVE INGREDIENTS ANTIMON CRUD 6C BERBER AQUI 6C SEPIA 6C,INACTIVE INGREDIENTS Sucrose/Lactose,DIRECTIONS Adults 2 pellets every 3 hours for 2 days. Then 2 pellets morning and night for 2 weeks. Children: 1 pellet. Repeat as necessary.,"STOP USE AND ASK DOCTOR If symptoms persist/worsen or if pregnant/nursing, stop use and consult your practitioner."
9c4d8a78-a21a-42df-bb62-ccbdacdfd721,acne,Oil Free Acne Wash,2020-01-13,Purpose Acne medication,Use for the treatment of acne,Active ingredient Salicylic acid 2%,"Inactive ingredients water, sodium C14-16 olefin sulfonate, cocamidopropyl betaine, sodium C12-15 pareth-15 sulfonate, aloe barbadensis leaf extract, anthemis nobilis flower extract, matricaria (chamomilla recutita) flower extract, linoleamidopropyl PG-dimonium chloride phosphate, disodium EDTA, propylene glycol, yellow 5, red 40, sodium chloride, fragrance","Directions use twice a daily. Wet face, apply to hands, add water and work into lather. Massage face gently. Rinse well. avoid contact with eyes. If contact occurs, flush thoroughly with water.",Warnings For external use only
